            perf 84895 [004] 2604262.859623:          3 cpu/event=0xD0,umask=0x81/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859624:          8 cpu/event=0x3C,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859625:          1 cpu/event=0xC0,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859629:         10 cpu/event=0xD0,umask=0x81/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859630:         25 cpu/event=0x3C,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859635:         70 cpu/event=0x3C,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84894 [002] 2604262.859635:      19981 cpu/event=0x3C,umask=0x00/u:            4160fd cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859636:          2 cpu/event=0xC0,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859640:        252 cpu/event=0x3C,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859655:        778 cpu/event=0x3C,umask=0x00/u:      7f7317675508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859656:          4 cpu/event=0xC0,umask=0x00/u:      7f7317675508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84894 [002] 2604262.859659:        395 cpu/event=0xD0,umask=0x81/u:      7f7317675490 __GI___libc_write (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859661:       1334 cpu/event=0x3C,umask=0x00/u:      7f7317675508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859665:         28 cpu/event=0xD0,umask=0x81/u:      7f7317675508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859666:          6 cpu/event=0xC0,umask=0x00/u:      7f7317675508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84894 [002] 2604262.859668:        427 cpu/event=0xD0,umask=0x81/u:            4ceee6 perf_data_file__write (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859672:          1 cpu/event=0xC5,umask=0x00/u:            46daa8 perf_evlist__prepare_workload (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859672:       4665 cpu/event=0xC0,umask=0x00/u:            4160f1 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859673:       4168 cpu/event=0x3C,umask=0x00/u:            46daa8 perf_evlist__prepare_workload (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859678:         13 cpu/event=0xC0,umask=0x00/u:            46daab perf_evlist__prepare_workload (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859678:        971 cpu/event=0xD0,umask=0x81/u:            46b778 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859682:          1 cpu/event=0xD0,umask=0x82/u:      7f7317899e40 _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859685:         58 cpu/event=0xC5,umask=0x00/u:            416250 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859687:         26 cpu/event=0xC0,umask=0x00/u:      7f7317899e4f _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859691:       2069 cpu/event=0xD0,umask=0x81/u:            4160e7 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859692:          1 cpu/event=0xD0,umask=0x82/u:      7f7317899ebd _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859693:       8040 cpu/event=0x3C,umask=0x00/u:      7f7317899ebd _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859698:      25130 cpu/event=0x3C,umask=0x00/u:            4160c8 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859698:         35 cpu/event=0xD0,umask=0x81/u:      7f7317899ebd _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859703:       4481 cpu/event=0xC0,umask=0x00/u:            46b778 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859703:          2 cpu/event=0xD0,umask=0x82/u:      7f7317891a42 _dl_fixup (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859704:         59 cpu/event=0xC0,umask=0x00/u:      7f7317891a42 _dl_fixup (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859709:          4 cpu/event=0xD0,umask=0x82/u:      7f731788ca50 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859710:          1 cpu/event=0xC5,umask=0x00/u:      7f731788ca50 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859711:         97 cpu/event=0xC0,umask=0x00/u:      7f731788ca50 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859716:         44 cpu/event=0xD0,umask=0x81/u:      7f731788ca71 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859718:       3783 cpu/event=0xD0,umask=0x81/u:            416104 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859720:         12 cpu/event=0xD0,umask=0x82/u:      7f731788bed1 do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859721:        257 cpu/event=0xC0,umask=0x00/u:      7f731788bed1 do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859723:       5748 cpu/event=0xC0,umask=0x00/u:      7f7317675490 __GI___libc_write (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859726:          2 cpu/event=0xC5,umask=0x00/u:      7f731788bf97 do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859727:        862 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
